source,class_name,max_root,magic_sum,x,r,u,v,A,B,C,diagonal_defect,is_fully_magic,all_entries_square,distinct_entries,canonical_key
C:\dev\mystimath\semimagic-square-878\data\magic_transversal_classes_R1000.csv,max-root-127-sum-21609,127,21609,4,3360,-4608,573,4,2116,9409,-5181,False,True,True,4 3364 6724 2116 5476 8836 9409 12769 16129
C:\dev\mystimath\semimagic-square-878\data\magic_transversal_classes_R1000.csv,max-root-254-sum-86436,254,86436,16,13440,-18432,2292,16,8464,37636,-20724,False,True,True,16 13456 26896 8464 21904 35344 37636 51076 64516
C:\dev\mystimath\semimagic-square-878\data\magic_transversal_classes_R1000.csv,max-root-381-sum-194481,381,194481,36,30240,-41472,5157,36,19044,84681,-46629,False,True,True,36 30276 60516 19044 49284 79524 84681 114921 145161
C:\dev\mystimath\semimagic-square-878\data\magic_transversal_classes_R1000.csv,max-root-446-sum-257049,446,257049,3844,43680,-80595,13587,3844,10609,111556,-94182,False,True,True,3844 47524 91204 10609 54289 97969 111556 155236 198916
C:\dev\mystimath\semimagic-square-878\data\magic_transversal_classes_R1000.csv,max-root-508-sum-345744,508,345744,64,53760,-73728,9168,64,33856,150544,-82896,False,True,True,64 53824 107584 33856 87616 141376 150544 204304 258064
C:\dev\mystimath\semimagic-square-878\data\magic_transversal_classes_R1000.csv,max-root-635-sum-540225,635,540225,100,84000,-115200,14325,100,52900,235225,-129525,False,True,True,100 84100 168100 52900 136900 220900 235225 319225 403225
C:\dev\mystimath\semimagic-square-878\data\magic_transversal_classes_R1000.csv,max-root-762-sum-777924,762,777924,144,120960,-165888,20628,144,76176,338724,-186516,False,True,True,144 121104 242064 76176 197136 318096 338724 459684 580644
C:\dev\mystimath\semimagic-square-878\data\magic_transversal_classes_R1000.csv,max-root-878-sum-1172889,878,1172889,21316,127680,-23667,7155,21316,253009,515524,-30822,False,True,True,21316 148996 276676 253009 380689 508369 515524 643204 770884
C:\dev\mystimath\semimagic-square-878\data\magic_transversal_classes_R1000.csv,max-root-889-sum-1058841,889,1058841,196,164640,-225792,28077,196,103684,461041,-253869,False,True,True,196 164836 329476 103684 268324 432964 461041 625681 790321
C:\dev\mystimath\semimagic-square-878\data\magic_transversal_classes_R1000.csv,max-root-892-sum-1028196,892,1028196,15376,174720,-322380,54348,15376,42436,446224,-376728,False,True,True,15376 190096 364816 42436 217156 391876 446224 620944 795664
